"MessageID","Waktu","Magnitudo","Kedalaman","Lintang","Bujur","Lokasi","Dirasakan","RawText","EventID"
"32314","30-Jan-26 09:51:19","2.9","46","4.83","95.58","22 km Utara CALANG-ACEHJAYA","","Info Gempa Mag:2.9, 30-Jan-26 09:51:19 WIB, Lok: 4.83 LU - 95.58 BT (22 km Utara CALANG-ACEHJAYA), Kedlmn: 46 km ::BMKG",""
"32378","30-Jan-26 17:15:33","2.6","8","2.69","96.32","25 km Utara SINABANG-ACEH","","Info Gempa Mag:2.6, 30-Jan-26 17:15:33 WIB, Lok: 2.69 LU - 96.32 BT (25 km Utara SINABANG-ACEH), Kedlmn: 8 km ::BMKG",""
"32395","30-Jan-26 18:45:24","3.2","73","5.01","95.6","26 km Selatan JANTHO-ACEHBESAR","","Info Gempa Mag:3.2, 30-Jan-26 18:45:24 WIB, Lok: 5.01 LU - 95.60 BT (26 km Selatan JANTHO-ACEHBESAR), Kedlmn: 73 km ::BMKG",""
"32492","31-Jan-26 04:09:54","2.2","13","4.18","97.45","25 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.2, 31-Jan-26 04:09:54 WIB, Lok: 4.18 LU - 97.45 BT (25 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 13 km ::BMKG",""
"32530","31-Jan-26 09:41:37","1.5","5","4.13","97.37","15 km Utara KAB-GAYOLUES-ACEH","","Info Gempa Mag:1.5, 31-Jan-26 09:41:37 WIB, Lok: 4.13 LU - 97.37 BT (15 km Utara KAB-GAYOLUES-ACEH), Kedlmn: 5 km ::BMKG",""
"32544","31-Jan-26 13:00:00","1.4","10","5.03","96.03","28 km Barat KAB-PIDIEJAYA-ACEH","","Info Gempa Mag:1.4, 31-Jan-26 13:00:00 WIB, Lok: 5.03 LU - 96.03 BT (28 km Barat KAB-PIDIEJAYA-ACEH), Kedlmn: 10 km ::BMKG",""
"32553","31-Jan-26 14:11:13","3.2","10","4.13","97.36","15 km Utara KAB-GAYOLUES-ACEH","Gayo Lues III MMI","Info Gempa Mag:3.2, 31-Jan-26 14:11:13 WIB, Lok: 4.13 LU - 97.36 BT (15 km Utara KAB-GAYOLUES-ACEH), Kedlmn: 10 km ::BMKG",""
"32568","31-Jan-26 16:37:43","2.4","5","4.48","96.39","28 km Utara KAB-NAGANRAYA-ACEH","","Info Gempa Mag:2.4, 31-Jan-26 16:37:43 WIB, Lok: 4.48 LU - 96.39 BT (28 km Utara KAB-NAGANRAYA-ACEH), Kedlmn: 5 km ::BMKG",""
"32569","31-Jan-26 16:59:30","1.7","3","4.97","96.18","12 km Barat KAB-PIDIEJAYA-ACEH","","Info Gempa Mag:1.7, 31-Jan-26 16:59:30 WIB, Lok: 4.97 LU - 96.18 BT (12 km Barat KAB-PIDIEJAYA-ACEH), Kedlmn: 3 km ::BMKG",""
"32572","31-Jan-26 17:13:07","1.5","5","4.16","97.43","21 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:1.5, 31-Jan-26 17:13:07 WIB, Lok: 4.16 LU - 97.43 BT (21 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 5 km ::BMKG",""
"32607","31-Jan-26 22:11:32","2.3","5","4.15","97.41","19 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.3, 31-Jan-26 22:11:32 WIB, Lok: 4.15 LU - 97.41 BT (19 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 5 km ::BMKG",""
"32611","31-Jan-26 22:34:45","2.0","23","4.79","95.31","35 km Barat Laut CALANG-ACEHJAYA","","Info Gempa Mag:2.0, 31-Jan-26 22:34:45 WIB, Lok: 4.79 LU - 95.31 BT (35 km Barat Laut CALANG-ACEHJAYA), Kedlmn: 23 km ::BMKG",""
"32638","1-Feb-26 00:57:48","2.7","5","4.22","97.45","28 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.7, 1-Feb-26 00:57:48 WIB, Lok: 4.22 LU - 97.45 BT (28 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 5 km ::BMKG",""
"32641","1-Feb-26 01:03:45","2.4","5","4.17","97.53","28 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.4, 1-Feb-26 01:03:45 WIB, Lok: 4.17 LU - 97.53 BT (28 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 5 km ::BMKG",""
"32664","1-Feb-26 02:59:51","2.4","5","4.19","97.43","24 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.4, 1-Feb-26 02:59:51 WIB, Lok: 4.19 LU - 97.43 BT (24 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 5 km ::BMKG",""
"32689","1-Feb-26 06:25:47","1.6","5","4.18","97.43","23 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:1.6, 1-Feb-26 06:25:47 WIB, Lok: 4.18 LU - 97.43 BT (23 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 5 km ::BMKG",""
"32753","1-Feb-26 17:02:08","2.3","5","4.11","97.43","16 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.3, 1-Feb-26 17:02:08 WIB, Lok: 4.11 LU - 97.43 BT (16 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 5 km ::BMKG",""
"32763","1-Feb-26 18:12:26","2.0","2","4.17","97.45","23 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.0, 1-Feb-26 18:12:26 WIB, Lok: 4.17 LU - 97.45 BT (23 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 2 km ::BMKG",""
"32764","1-Feb-26 18:21:33","2.1","5","4.14","97.4","18 km Utara KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.1, 1-Feb-26 18:21:33 WIB, Lok: 4.14 LU - 97.40 BT (18 km Utara KAB-GAYOLUES-ACEH), Kedlmn: 5 km ::BMKG",""
